state,district,sub_centres,phcs,chcs,sub_divisional_hospital,district_hospital,year
Rajasthan,Dungarpur,347,60,16,1,1,2020-21
Rajasthan,Ganganagar,419,64,18,0,1,2020-21
Rajasthan,Hanumangarh,360,60,16,0,1,2020-21
Rajasthan,Jaipur,621,181,37,1,1,2020-21
Rajasthan,Jaisalmer,156,25,10,0,1,2020-21
Rajasthan,Jalore,409,69,12,0,1,2020-21
Rajasthan,Jhalawar,323,44,14,1,0,2020-21
Rajasthan,Jhunjhunu,598,115,27,1,1,2020-21
Rajasthan,Jodhpur,651,105,27,1,0,2020-21
Rajasthan,Karauli,281,39,14,1,1,2020-21
Rajasthan,Kota,188,62,13,0,0,2020-21
Rajasthan,Nagaur,803,132,35,3,1,2020-21
Rajasthan,Pali,475,87,25,1,1,2020-21
Rajasthan,Pratapgarh,204,32,8,0,1,2020-21
Rajasthan,Rajsamand,262,46,14,1,1,2020-21
Rajasthan,Sawai Madhopur,269,42,14,1,1,2020-21
Rajasthan,Sikar,647,113,32,2,1,2020-21
Rajasthan,Sirohi,223,30,10,0,1,2020-21
Rajasthan,Tonk,294,61,12,0,1,2020-21
Rajasthan,Udaipur,623,108,31,1,0,2020-21
Tamil Nadu,Ariyalur,117,33,6,3,0,2020-21
Tamil Nadu,Chengalpattu,221,41,8,7,0,2020-21
Tamil Nadu,Chennai,0,144,15,4,0,2020-21
Tamil Nadu,Coimbatore,328,77,12,12,1,2020-21
Tamil Nadu,Cuddalore,319,58,13,9,1,2020-21
Tamil Nadu,Dharmapuri,218,43,8,3,1,2020-21
Tamil Nadu,Dindigul,311,59,14,12,0,2020-21
Tamil Nadu,Erode,311,62,14,7,1,2020-21
Tamil Nadu,Kallakurichi,212,36,9,4,0,2020-21
Tamil Nadu,Kanchipuram,143,23,5,3,1,2020-21
Tamil Nadu,Kanniyakumari,267,38,9,8,1,2020-21
Tamil Nadu,Karur,168,29,8,6,1,2020-21
Tamil Nadu,Krishnagiri,239,51,10,6,0,2020-21
Tamil Nadu,Madurai,314,75,13,7,1,2020-21
Tamil Nadu,Mayiladuthurai,147,26,5,6,0,2020-21
Tamil Nadu,Nagapattinam,111,21,6,5,0,2020-21
Tamil Nadu,Namakkal,240,48,15,8,0,2020-21
Tamil Nadu,Perambalur,90,25,4,3,1,2020-21
Tamil Nadu,Pudukkottai,242,63,13,12,1,2020-21
Tamil Nadu,Ramanathapuram,244,48,11,9,0,2020-21
Tamil Nadu,Ranipet,163,29,7,4,1,2020-21
Tamil Nadu,Salem,398,87,20,11,1,2020-21
Tamil Nadu,Sivaganga,275,40,12,16,1,2020-21
Tamil Nadu,Tenkasi,177,42,10,8,1,2020-21
Tamil Nadu,Thanjavur,309,63,14,13,1,2020-21
Tamil Nadu,The Nilgiris,194,33,4,5,0,2020-21
Tamil Nadu,Theni,162,33,8,5,1,2020-21
Tamil Nadu,Thiruvallur,303,54,14,11,0,2020-21
Tamil Nadu,Thiruvarur,195,40,10,7,1,2020-21
Tamil Nadu,Tiruchirappalli,307,70,14,9,1,2020-21
Tamil Nadu,Tirunelveli,202,43,9,8,0,2020-21
Tamil Nadu,Tirupathur,134,31,6,4,0,2020-21
Tamil Nadu,Tiruppur,242,54,13,9,0,2020-21
Tamil Nadu,Tiruvannamalai,410,81,18,9,1,2020-21
Tamil Nadu,Tuticorin,253,48,12,8,1,2020-21
Tamil Nadu,Vellore,157,39,7,4,0,2020-21
Tamil Nadu,Villupuram,345,52,13,7,0,2020-21
Tamil Nadu,Virudhunagar,245,47,11,10,0,2020-21
Uttar Pradesh,Agra,395,73,18,0,2,2020-21
Uttar Pradesh,Aligarh,333,53,13,0,4,2020-21
Uttar Pradesh,Ambedkar Nagar,272,28,10,0,1,2020-21
Uttar Pradesh,Amethi,213,30,13,0,0,2020-21
Uttar Pradesh,Amroha,175,32,8,0,2,2020-21
Uttar Pradesh,Auraiya,165,26,7,0,2,2020-21
Uttar Pradesh,Ayodhya,255,34,12,0,4,2020-21
Uttar Pradesh,Azamgarh,493,75,19,0,4,2020-21
Uttar Pradesh,Baghpat,200,24,7,0,1,2020-21
Uttar Pradesh,Bahraich,320,56,14,0,2,2020-21
Uttar Pradesh,Ballia,367,81,9,0,2,2020-21
Uttar Pradesh,Balrampur,215,26,9,0,3,2020-21
Uttar Pradesh,Banda,277,52,4,0,2,2020-21
Uttar Pradesh,Barabanki,350,57,19,0,3,2020-21
Uttar Pradesh,Bareilly,411,71,16,0,2,2020-21
Uttar Pradesh,Basti,273,41,14,0,3,2020-21
Uttar Pradesh,Bhadohi,161,17,6,0,2,2020-21
Uttar Pradesh,Bijnor,343,62,11,0,2,2020-21
Uttar Pradesh,Budaun,291,55,10,0,2,2020-21
Uttar Pradesh,Bulandshahar,344,71,10,0,4,2020-21
Uttar Pradesh,Chandauli,248,30,4,0,4,2020-21
Uttar Pradesh,Chitrakoot,134,28,6,0,1,2020-21
Uttar Pradesh,Deoria,320,76,16,0,2,2020-21
Uttar Pradesh,Etah,191,34,4,0,2,2020-21
Uttar Pradesh,Etawah,169,34,8,0,3,2020-21
Uttar Pradesh,Farrukhabad,192,31,8,0,3,2020-21
Uttar Pradesh,Fatehpur,321,47,11,0,2,2020-21
Uttar Pradesh,Firozabad,220,71,5,0,3,2020-21
Uttar Pradesh,Gautam Buddha Nagar,128,37,5,0,2,2020-21
Uttar Pradesh,Ghaziabad,146,66,4,0,3,2020-21
Uttar Pradesh,Ghazipur,418,60,17,0,2,2020-21
Uttar Pradesh,Gonda,322,52,16,0,2,2020-21
Uttar Pradesh,Gorakhpur,529,85,15,0,2,2020-21
Uttar Pradesh,Hamirpur,214,41,4,0,2,2020-21
Uttar Pradesh,Hapur,176,26,6,0,1,2020-21
Uttar Pradesh,Hardoi,433,50,19,0,2,2020-21
Uttar Pradesh,Hathras,194,27,7,0,2,2020-21
Uttar Pradesh,Jalaun,286,41,7,0,2,2020-21
Uttar Pradesh,Jaunpur,507,83,22,0,2,2020-21
Uttar Pradesh,Jhansi,338,45,12,0,2,2020-21
Uttar Pradesh,Kannauj,191,35,11,0,2,2020-21
Uttar Pradesh,Kanpur Dehat,240,30,8,0,2,2020-21
Uttar Pradesh,Kanpur Nagar,390,92,10,0,5,2020-21
Uttar Pradesh,Kasganj,170,31,7,0,1,2020-21
Uttar Pradesh,Kaushambi,175,34,5,0,1,2020-21
Uttar Pradesh,Kheri,386,59,15,0,2,2020-21
Uttar Pradesh,Kushi Nagar,368,55,16,0,1,2020-21
Uttar Pradesh,Lalitpur,197,27,4,0,2,2020-21
Uttar Pradesh,Lucknow,306,78,19,0,9,2020-21
Uttar Pradesh,Maharajganj,291,40,12,0,1,2020-21
Uttar Pradesh,Mahoba,150,16,5,0,2,2020-21
Uttar Pradesh,Mainpuri,206,46,10,0,2,2020-21
Uttar Pradesh,Mathura,205,34,12,0,3,2020-21
Uttar Pradesh,Mau,225,43,6,0,2,2020-21
Uttar Pradesh,Meerut,280,57,12,0,2,2020-21
Uttar Pradesh,Mirzapur,263,39,16,0,2,2020-21
Uttar Pradesh,Moradabad,267,56,7,0,2,2020-21
Uttar Pradesh,Muzaffarnagar,286,47,7,0,2,2020-21
Uttar Pradesh,Pilibhit,199,31,6,0,2,2020-21
Uttar Pradesh,Pratapgarh,355,60,21,0,2,2020-21
