state,district,sub_centres,phcs,chcs,sub_divisional_hospital,district_hospital,year,lgd_matched_name,district_census2011_code,match_type,population
Maharashtra,Gondia,258,41,10,1,0,2020-21,Gondia,507,exact,1322507
Maharashtra,Hingoli,132,27,3,2,1,2020-21,Hingoli,512,exact,1177345
Maharashtra,Jalgaon,443,95,17,3,0,2020-21,Jalgaon,499,exact,4229917
Maharashtra,Jalna,218,44,9,1,1,2020-21,Jalna,514,exact,1959046
Maharashtra,Kolhapur,413,92,18,4,0,2020-21,Kolhapur,530,exact,3876001
Maharashtra,Latur,252,56,10,1,0,2020-21,Latur,524,exact,2454196
Maharashtra,Mumbai,0,37,0,0,0,2020-21,Mumbai,519,exact,3085411
Maharashtra,Mumbai Suburban,0,97,0,0,0,2020-21,Mumbai Suburban,518,exact,9356962
Maharashtra,Nagpur,316,84,10,2,0,2020-21,Nagpur,505,exact,4653570
Maharashtra,Nanded,379,76,13,4,1,2020-21,Nanded,511,exact,3361292
Maharashtra,Nandurbar,293,61,12,2,0,2020-21,Nandurbar,497,exact,1648295
Maharashtra,Nashik,592,153,24,6,1,2020-21,Nashik,516,exact,6107187
Maharashtra,Osmanabad,211,46,6,4,1,2020-21,Dharashiv,525,crosswalk,1657576
Maharashtra,Palghar,314,69,13,3,0,2020-21,Palghar,000,exact,
Maharashtra,Parbhani,215,38,6,2,1,2020-21,Parbhani,513,exact,1836086
Maharashtra,Pune,545,192,40,5,1,2020-21,Pune,521,exact,9429408
Maharashtra,Raigad,288,60,8,6,1,2020-21,Raigad,520,exact,2634200
Maharashtra,Ratnagiri,378,70,8,3,1,2020-21,Ratnagiri,528,exact,1615069
Maharashtra,Sangli,320,70,15,2,0,2020-21,Sangli,531,exact,2822143
Maharashtra,Satara,401,76,15,2,1,2020-21,Satara,527,exact,3003741
Maharashtra,Sindhudurg,248,38,7,3,1,2020-21,Sindhudurg,529,exact,849651
Maharashtra,Solapur,427,95,16,3,0,2020-21,Solapur,526,exact,4317756
Maharashtra,Thane,176,138,13,3,1,2020-21,Thane,517,exact,11060148
Maharashtra,Wardha,181,32,8,2,1,2020-21,Wardha,504,exact,1300774
Maharashtra,Washim,150,27,6,1,1,2020-21,Washim,502,exact,1197160
Maharashtra,Yavatmal,444,69,14,3,0,2020-21,Yavatmal,510,exact,2772348
Rajasthan,Ajmer,370,84,25,2,2,2020-21,Ajmer,119,exact,2583052
Rajasthan,Alwar,699,130,40,1,1,2020-21,Alwar,104,exact,3674179
Rajasthan,Banswara,455,58,22,0,1,2020-21,Banswara,125,exact,1797485
Rajasthan,Baran,263,52,14,0,1,2020-21,Baran,128,exact,1222755
Rajasthan,Barmer,729,105,26,1,1,2020-21,Barmer,115,exact,2603751
Rajasthan,Bharatpur,396,73,22,1,1,2020-21,Bharatpur,105,exact,2548462
Rajasthan,Bhilwara,524,82,27,1,0,2020-21,Bhilwara,122,exact,2408523
Rajasthan,Bikaner,421,70,18,0,0,2020-21,Bikaner,101,exact,2363937
Rajasthan,Bundi,206,32,14,0,1,2020-21,Bundi,121,exact,1110906
Rajasthan,Chittorgarh,383,52,24,1,1,2020-21,Chittorgarh,126,exact,1544338
Rajasthan,Churu,436,99,16,2,1,2020-21,Churu,102,exact,2039547
Rajasthan,Dausa,313,48,17,0,1,2020-21,Dausa,109,exact,1634409
Rajasthan,Dholpur,233,34,7,1,1,2020-21,Dholpur,106,exact,1206516
Rajasthan,Dungarpur,347,60,16,1,1,2020-21,Dungarpur,124,exact,1388552
Rajasthan,Ganganagar,419,64,18,0,1,2020-21,Ganganagar,099,exact,1969168
Rajasthan,Hanumangarh,360,60,16,0,1,2020-21,Hanumangarh,100,exact,1774692
Rajasthan,Jaipur,621,181,37,1,1,2020-21,Jaipur,110,exact,6626178
Rajasthan,Jaisalmer,156,25,10,0,1,2020-21,Jaisalmer,114,exact,669919
Rajasthan,Jalore,409,69,12,0,1,2020-21,Jalore,116,exact,1828730
Rajasthan,Jhalawar,323,44,14,1,0,2020-21,Jhalawar,129,exact,1411129
Rajasthan,Jhunjhunu,598,115,27,1,1,2020-21,Jhunjhunu,103,exact,2137045
Rajasthan,Jodhpur,651,105,27,1,0,2020-21,Jodhpur,113,exact,3687165
Rajasthan,Karauli,281,39,14,1,1,2020-21,Karauli,107,exact,1458248
Rajasthan,Kota,188,62,13,0,0,2020-21,Kota,127,exact,1951014
Rajasthan,Nagaur,803,132,35,3,1,2020-21,Nagaur,112,exact,3307743
Rajasthan,Pali,475,87,25,1,1,2020-21,Pali,118,exact,2037573
Rajasthan,Pratapgarh,204,32,8,0,1,2020-21,Pratapgarh,131,exact,867848
Rajasthan,Rajsamand,262,46,14,1,1,2020-21,Rajsamand,123,exact,1156597
Rajasthan,Sawai Madhopur,269,42,14,1,1,2020-21,Sawai Madhopur,108,exact,1335551
Rajasthan,Sikar,647,113,32,2,1,2020-21,Sikar,111,exact,2677333
Rajasthan,Sirohi,223,30,10,0,1,2020-21,Sirohi,117,exact,1036346
Rajasthan,Tonk,294,61,12,0,1,2020-21,Tonk,120,exact,1421326
